Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
8/9/2013,Zdenek Hruby,Czech Republic,Fall,"35.7193° N, 76.7106° E",11
7/22/2013,Xevi Gómez,Spain,Disappeared,"35.7193° N, 76.7106° E",11
7/22/2013,Álvaro Paredes,Spain,Disappeared,"35.7193° N, 76.7106° E",11
7/22/2013,Abel Alonso,Spain,Disappeared,"35.7193° N, 76.7106° E",11
7/7/2013,Artur Hajzer,Poland,Fall,"35.7193° N, 76.7106° E",11
3/9/2012,Gerfried Göschl,Austria,Disappeared,"35.7193° N, 76.7106° E",11
3/9/2012,Cedric Hählen,Switzerland,Disappeared,"35.7193° N, 76.7106° E",11
3/9/2012,Nissar Hussain,Pakistan,Disappeared,"35.7193° N, 76.7106° E",11
6/18/2008,Jean-Noel Urban,France,Fall into crevasse,"35.7193° N, 76.7106° E",11
7/29/2007,Jiri Danek,Czech Republic,Fall,"35.7193° N, 76.7106° E",11
8/5/2005,Dawa Nurbu II,Nepal,Fall,"35.7193° N, 76.7106° E",11
7/25/2004,Jose Antonio Anton,Spain,Fall,"35.7193° N, 76.7106° E",11
9/7/2003,Mohammad Oraz,Iran,Avalanche,"35.7193° N, 76.7106° E",11
7/15/2003,Vladimir Pestrikov,Ukraine,Stone fall,"35.7193° N, 76.7106° E",11
7/5/2003,Jose Manuel Buenaga,Spain,Disappeared,"35.7193° N, 76.7106° E",11
7/5/2003,Nancy Silvestrini,Argentina,Disappeared,"35.7193° N, 76.7106° E",11
7/9/2001,Claudio Gálvez Santibañez,Chile,Fall on descent,"35.7193° N, 76.7106° E",11
8/1/1998,Yoshiumi Hayoshida,Japan,Avalanche,"35.7193° N, 76.7106° E",11
8/1/1998,Kasunori Kutama,Japan,Avalanche,"35.7193° N, 76.7106° E",11
8/1/1998,Kasutoshi Naito,Japan,Avalanche,"35.7193° N, 76.7106° E",11
8/1/1998,Takashi Watanabe,Japan,Avalanche,"35.7193° N, 76.7106° E",11
7/17/1996,Manuel Alvarez,Spain,Fall,"35.7193° N, 76.7106° E",11
5/30/1993,Paolo Bernascone,Italy,Avalanche,"35.7193° N, 76.7106° E",11
8/19/1990,Josep Granyo,Spain,Disappeared,"35.7193° N, 76.7106° E",11
8/19/1990,Albert Ibanez,Spain,Disappeared,"35.7193° N, 76.7106° E",11
7/12/1989,Dorje Tsindi,Nepal,Fall,"35.7193° N, 76.7106° E",11
6/25/1988,Jorge Luis Brito,Mexico,Pulmonary edema,"35.7193° N, 76.7106° E",11
7/29/1987,Mohsin Ali,Pakistan,Avalanche,"35.7193° N, 76.7106° E",11
7/29/1987,Fakhar-ul-Islam,Pakistan,Avalanche,"35.7193° N, 76.7106° E",11
7/29/1987,Fayyaz Hussain,Pakistan,Avalanche,"35.7193° N, 76.7106° E",11
7/29/1987,Khalid Khan,Pakistan,Avalanche,"35.7193° N, 76.7106° E",11
8/18/1986,Andreas Bührer,Switzerland,Fall,"35.7193° N, 76.7106° E",11
5/31/1986,Muhammad Ali Ghulam,Pakistan,Pneumonia,"35.7193° N, 76.7106° E",11
6/9/1977,Drago Bregar,Yugoslavia,Disappeared,"35.7193° N, 76.7106° E",11